2026-03-23 13:57:24 | INFO     | bot.client | Order response ← {'orderId': 12953367215, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'hDKTLnUHqV6Dz12wgTSLek', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774254444155}
2026-03-23 13:57:24 | INFO     | bot.orders | Order placed successfully | orderId=12953367215 status=NEW
2026-03-23 13:57:24 | INFO     | __main__ | Bot run completed successfully.
2026-03-23 13:58:38 | INFO     | root | Logging initialised → logs\trading_bot_20260323.log
2026-03-23 13:58:38 | INFO     | root | Logging initialised → logs\trading_bot_20260323.log
2026-03-23 13:58:38 | DEBUG    | __main__ | CLI args: {'api_key': None, 'api_secret': None, 'symbol': 'BTCUSDT', 'side': 'SELL', 'order_type': 'LIMIT', 'quantity': 0.002, 'price': 120000.0, 'stop_price': None, 'log_level': 'DEBUG'}
2026-03-23 13:58:38 | DEBUG    | bot.validators | Symbol validated: BTCUSDT
2026-03-23 13:58:38 | DEBUG    | bot.validators | Side validated: SELL
2026-03-23 13:58:38 | DEBUG    | bot.validators | Order type validated: LIMIT
2026-03-23 13:58:38 | DEBUG    | bot.validators | Quantity validated: 0.002
2026-03-23 13:58:38 | DEBUG    | bot.validators | Price validated: 120000.0
2026-03-23 13:58:38 | INFO     | bot.client | BinanceClient initialised → base_url=https://demo-fapi.binance.com
2026-03-23 13:58:38 | DEBUG    | bot.client | → GET https://demo-fapi.binance.com/fapi/v1/time  params={}
2026-03-23 13:58:38 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): demo-fapi.binance.com:443
2026-03-23 13:58:40 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "GET /fapi/v1/time HTTP/1.1" 200 28
2026-03-23 13:58:40 | DEBUG    | bot.client | ← HTTP 200  body={"serverTime":1774254520152}
2026-03-23 13:58:40 | INFO     | __main__ | Server time: {'serverTime': 1774254520152}
2026-03-23 13:58:40 | INFO     | bot.orders | Submitting SELL LIMIT order | symbol=BTCUSDT qty=0.002 price=120000.0 stop=None
2026-03-23 13:58:40 | INFO     | bot.client | Placing order → {'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.002, 'price': 120000.0, 'timeInForce': 'GTC'}
2026-03-23 13:58:40 | DEBUG    | bot.client | → POST https://demo-fapi.binance.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.002, 'price': 120000.0, 'timeInForce': 'GTC', 'timestamp': 1774254520228}
2026-03-23 13:58:40 | DEBUG    | urllib3.connectionpool | https://demo-fapi.binance.com:443 "POST /fapi/v1/order HTTP/1.1" 200 None
